Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# N's per 100 kbp
49990_1_285.assembly	101	68	49	43	35	24	5354286	5342165	5298448	5250542	5102475	4706241	77	480316	5348615	57.29	259473	100622	8	15	0.00
49989_1_172.assembly	133	80	59	49	38	28	5001361	4978711	4937696	4862643	4663118	4299757	99	351517	4991942	50.69	178090	82744	10	21	0.00
49989_1_42.assembly	154	73	50	43	33	25	5244890	5210235	5153366	5108679	4959482	4680278	102	635547	5230902	50.35	237579	97146	7	16	0.00
49990_1_316.assembly	166	102	70	60	46	33	5320459	5293738	5221571	5148564	4899340	4410787	126	333716	5309815	50.73	145582	68492	13	26	0.00
49989_1_231.assembly	159	77	50	44	26	21	5265365	5234664	5180313	5139538	4859831	4676448	101	709680	5250204	50.69	239961	148163	7	13	0.00
49937_1_74.assembly	131	65	38	32	24	20	4889490	4860862	4802862	4761128	4652583	4485978	82	717607	4873960	50.72	231082	151437	7	13	0.00
49947_1_311.assembly	183	89	59	51	35	29	5270253	5235573	5164460	5105002	4889296	4688365	118	420245	5254468	50.65	170446	111554	11	20	0.00
49937_1_145.assembly	136	63	40	36	31	27	5501860	5479408	5433259	5403527	5329151	5198662	74	590371	5486886	57.26	242099	140345	8	15	0.00
49990_1_313.assembly	196	76	41	34	29	23	5105101	5057915	4975937	4922845	4832228	4619215	113	491984	5084740	50.58	222062	136854	8	15	0.00
49990_2_2.assembly	97	55	40	34	24	21	4992378	4974544	4940306	4897584	4740055	4631655	72	805765	4987153	50.59	237085	138807	6	13	0.00
49989_2_263.assembly	216	105	58	43	31	22	5289238	5248131	5138610	5029985	4859756	4529219	140	610998	5271187	50.74	206860	147002	9	16	0.00
49989_1_62.assembly	192	82	52	45	38	27	5173809	5131870	5070746	5015896	4915914	4523576	113	367706	5153200	50.47	252573	105034	9	18	0.00
49989_1_222.assembly	172	76	48	41	29	22	5329557	5289183	5232091	5185998	4992565	4755904	112	615192	5314000	50.38	234001	118224	7	14	0.00
49937_1_159.assembly	81	48	32	27	24	17	5304489	5292967	5259377	5221227	5178276	4959594	56	666382	5298662	57.40	370829	263794	6	10	0.00
49989_1_272.assembly	218	82	59	55	40	26	5252228	5202679	5157496	5125635	4918641	4441487	116	432501	5226553	50.62	211111	88122	9	19	0.00
49990_1_348.assembly	346	141	96	79	58	38	5366391	5279024	5165030	5047074	4690653	3961289	216	436705	5330037	50.67	91061	49739	19	39	0.00
49937_1_211.assembly	101	68	49	43	35	24	5354452	5342330	5298619	5250713	5102649	4706095	77	480315	5348780	57.29	259473	100622	8	15	0.00
49990_1_224.assembly	111	73	54	44	28	26	5116238	5102423	5059142	4982804	4730640	4666701	83	524561	5109656	50.74	209197	116967	9	17	0.00
49989_2_16.assembly	156	58	37	37	32	23	5052632	5018236	4975081	4975081	4892068	4577787	79	714237	5033445	50.43	249984	123981	6	14	0.00
49989_2_324.assembly	85	44	33	32	27	21	5394653	5382773	5362641	5357356	5284482	5083755	52	732249	5388000	57.29	380311	133656	5	11	0.00
49989_2_306.assembly	173	93	69	61	45	33	5149465	5116981	5067177	5008707	4719909	4269676	119	315528	5134661	50.68	136661	77181	14	27	0.00
49937_1_377.assembly	182	83	53	44	31	26	5541379	5509183	5428190	5360437	5154330	4985286	100	787772	5520843	57.15	217596	108528	7	16	0.00
49989_2_93.assembly	135	78	52	39	27	20	5126015	5104035	5045912	4957347	4754575	4503554	96	805865	5117257	50.55	237084	136849	6	13	0.00
49989_2_171.assembly	203	129	93	82	59	30	5198603	5168538	5081996	5003932	4619071	3524910	154	241350	5186512	50.59	96140	45489	17	38	0.00
49989_1_365.assembly	97	63	41	41	28	23	4992153	4980395	4932369	4932369	4734029	4563593	72	622983	4987262	50.76	205042	111570	7	14	0.00
49990_2_315.assembly	124	73	43	41	36	25	5204627	5186194	5120298	5106340	5043054	4644296	86	554420	5195561	50.44	212570	105387	8	17	0.00
49937_1_94.assembly	163	81	47	42	29	22	5253442	5219469	5140287	5109203	4927990	4685750	111	555717	5240158	50.84	276204	125220	8	15	0.00
49937_1_239.assembly	88	48	29	26	25	21	5118345	5101922	5055211	5033264	5022774	4891432	65	623080	5113100	50.65	349036	203097	6	11	0.00
49990_2_137.assembly	208	99	61	50	37	25	5265200	5217822	5130173	5054297	4846329	4434541	141	448292	5245785	50.44	176548	104501	9	19	0.00
49989_1_304.assembly	173	103	69	54	42	31	5138060	5115619	5041623	4925995	4736884	4328212	116	489377	5125490	50.54	123824	79069	12	24	0.00
49937_1_160.assembly	401	191	106	78	55	31	6142788	6063484	5865531	5663348	5254903	4409194	254	382135	6107024	56.40	102974	42010	15	35	0.00
49990_2_49.assembly	82	54	35	32	28	21	5208964	5198285	5156061	5135614	5071185	4841972	62	1566008	5205353	55.04	247373	124671	5	12	0.00
49989_1_294.assembly	194	125	82	69	57	35	4916356	4886940	4771831	4682047	4460974	3684717	148	247160	4904135	50.78	94300	51343	18	35	0.00
49989_1_292.assembly	165	101	69	56	45	31	5139255	5120091	5052593	4954753	4795088	4290015	112	489377	5128163	50.54	123824	79070	12	24	0.00
49989_1_269.assembly	131	65	41	40	28	22	4951283	4926776	4869746	4863662	4692492	4496338	82	391925	4939135	50.74	294717	134060	7	14	0.00
49990_2_141.assembly	158	77	51	45	30	21	5141795	5106425	5051898	5009708	4765206	4490289	109	562156	5128192	50.47	251946	112970	7	14	0.00
49990_1_26.assembly	12179	1249	168	63	12	1	7506371	3927732	1878248	1154092	421518	52212	3132	52212	5220466	49.74	2478	1008	387	1237	0.00
49990_2_218.assembly	132	67	46	41	29	21	5057831	5031854	4979972	4943354	4768297	4474855	89	447469	5046962	50.68	246032	156493	8	14	0.00
49990_2_33.assembly	303	107	48	33	26	20	5296621	5210816	5067701	4956360	4850841	4641979	177	578081	5262730	50.47	304781	130171	7	14	0.00
49937_1_178.assembly	168	90	59	49	36	26	5709606	5679890	5614835	5550104	5342190	5021646	110	477331	5693618	57.23	211799	108752	9	17	0.00
49989_2_359.assembly	198	93	67	61	49	34	5392665	5359755	5297958	5251457	5050254	4501719	111	390517	5372313	57.20	110017	75183	13	27	0.00
49937_1_146.assembly	80	51	32	26	20	17	5371345	5359721	5315449	5271820	5176638	5087992	62	926441	5367189	57.50	370176	322640	5	8	0.00
49947_1_92.assembly	173	81	55	43	30	26	5204377	5165972	5101650	5012441	4811660	4683737	117	536116	5191093	50.67	202168	108993	8	17	0.00
49990_2_102.assembly	147	67	34	28	24	16	5220602	5185117	5120705	5072877	5016961	4742726	100	615354	5207522	50.52	354693	209419	6	10	0.00
49989_2_50.assembly	121	52	25	21	20	16	4999994	4971588	4907883	4882612	4869598	4732016	78	1152222	4990158	50.50	530589	268090	4	7	0.00
49947_1_249.assembly	124	70	47	41	28	21	4962912	4943348	4898269	4856059	4664996	4433659	83	582182	4951996	50.58	246032	137432	7	13	0.00
49989_2_114.assembly	152	88	47	42	27	23	5346411	5319710	5230693	5192831	4942920	4807421	108	537700	5334115	50.73	226782	160958	8	15	0.00
49937_1_101.assembly	134	112	90	83	60	35	5094927	5085529	5032191	4981158	4584283	3663919	120	214438	5091723	57.49	88026	45760	19	39	0.00
49990_1_182.assembly	157	75	52	46	38	27	5150809	5120211	5071920	5024436	4897504	4536238	96	616878	5134404	50.52	168382	91902	7	18	0.00
49947_1_216.assembly	196	76	53	47	37	28	5145810	5103372	5054143	5009648	4841522	4535497	101	463684	5120788	50.51	168382	91784	8	19	0.00
49989_2_247.assembly	195	115	88	77	52	34	5106067	5074949	5011216	4940237	4509110	3896841	136	286358	5091531	50.58	97031	57893	17	33	0.00
49989_2_174.assembly	183	87	62	51	33	27	5262444	5227662	5171595	5100516	4813893	4615357	113	623003	5245517	50.66	176456	108981	10	19	0.00
49989_1_291.assembly	144	84	58	51	35	29	5385378	5367242	5306456	5257744	4980908	4789249	94	375084	5373980	57.37	200583	94651	10	19	0.00
50078_1_180.assembly	181	81	54	43	30	24	5539920	5508051	5433792	5352103	5154512	4956061	99	787772	5520361	57.15	248554	117856	6	14	0.00
49989_2_286.assembly	234	119	73	61	42	28	5223051	5181162	5072451	4985278	4674698	4148397	151	374582	5204000	50.55	163460	55871	10	24	0.00
49990_2_209.assembly	228	114	69	56	41	29	5208441	5163041	5066493	4970171	4745583	4332906	151	363685	5189351	50.55	150798	80962	12	23	0.00
49937_1_41.assembly	210	82	50	41	25	21	5181475	5130905	5065748	4996002	4747115	4606760	126	670563	5159802	50.75	220965	136365	7	14	0.00
49990_1_344.assembly	124	73	50	43	29	24	5066351	5048869	4994232	4950803	4728871	4564302	86	623729	5057507	50.75	222270	116898	8	15	0.00
49990_1_180.assembly	133	83	57	46	32	29	5112428	5092999	5036062	4953927	4736528	4623949	98	378434	5103694	50.74	190808	116867	10	18	0.00
49989_2_219.assembly	135	74	49	37	31	23	5215394	5193026	5132262	5043915	4939735	4667063	91	598487	5205137	50.67	215880	136854	8	15	0.00
49989_1_8.assembly	198	89	54	43	31	19	5194415	5150199	5076266	4999987	4806122	4383884	129	665160	5176026	50.35	219555	113061	7	14	0.00
49947_1_177.assembly	101	71	50	44	36	25	5353237	5344055	5297888	5249979	5101516	4705497	76	480316	5347585	57.29	252107	100483	8	16	0.00
49947_1_347.assembly	4	4	0	0	0	0	6948	6948	0	0	0	0	4	3466	6948	52.88	1255	1210	2	3	0.00
49990_2_110.assembly	134	74	47	37	29	24	5086951	5060794	4995501	4926965	4796474	4601025	96	511179	5076897	50.75	209196	136542	8	16	0.00
49937_1_285.assembly	110	78	47	39	28	21	5756667	5743700	5679339	5615578	5422607	5175174	90	792040	5752838	56.66	350119	146347	5	12	0.00
49989_2_56.assembly	147	78	50	37	29	26	5759643	5731516	5673250	5587917	5467020	5378535	100	649601	5747400	57.05	301030	141204	7	15	0.00
49947_1_52.assembly	167	77	56	50	39	30	4911412	4878036	4828483	4785411	4601877	4265270	99	271933	4893987	50.64	163009	90665	12	21	0.00
49937_1_280.assembly	181	88	62	54	39	29	5023096	4987063	4928124	4868531	4645727	4298985	116	367322	5006429	50.74	174220	85405	11	21	0.00
49989_1_321.assembly	341	154	96	78	50	37	5465021	5401688	5273818	5135480	4686703	4251682	194	274181	5430580	57.15	105868	57600	18	34	0.00
49937_1_40.assembly	41	26	21	18	17	14	5179961	5175255	5164798	5143303	5122773	5022686	29	1408319	5177319	57.49	422178	312501	3	7	0.00
49989_1_206.assembly	159	77	49	45	27	24	5255760	5223298	5158114	5132911	4857357	4757513	102	527319	5241549	50.68	239962	148163	8	14	0.00
49937_1_109.assembly	145	68	43	38	31	22	5045525	5014925	4949336	4913062	4816421	4524293	91	790918	5031425	50.55	331774	110467	5	12	0.00
49947_1_282.assembly	100	51	29	24	20	17	4899766	4881563	4833653	4798543	4752082	4654587	66	620460	4892524	50.53	361948	202437	6	10	0.00
49989_2_3.assembly	237	104	73	61	49	33	5081043	5034088	4963356	4872384	4672004	4110932	133	327152	5054293	50.51	112477	59669	14	28	0.00
49937_1_288.assembly	198	99	62	57	42	29	5356070	5315775	5225666	5189350	4919820	4437064	128	436453	5336881	50.70	170239	71492	10	23	0.00
49937_1_93.assembly	161	72	45	40	34	27	5761488	5731251	5672318	5635200	5538112	5294111	90	542828	5743978	56.77	243716	140346	8	16	0.00
49989_1_333.assembly	167	83	60	54	41	29	5165686	5135966	5094181	5051870	4826714	4431818	103	667428	5149932	50.52	158508	86303	10	21	0.00
49947_1_85.assembly	208	102	68	53	41	33	5528119	5494673	5412926	5310115	5112808	4859801	123	615068	5508766	57.15	151999	92928	12	23	0.00
49937_1_19.assembly	78	48	33	31	26	21	5214673	5205318	5166020	5154498	5058689	4888644	55	702932	5210478	57.56	272991	158741	6	12	0.00
49989_2_262.assembly	230	132	80	71	50	29	5884702	5851716	5733285	5663707	5362846	4643883	156	431453	5868337	56.98	162234	68718	10	25	0.00
49989_1_173.assembly	84	52	30	26	20	17	5370776	5357683	5302461	5270911	5175729	5087083	64	1092625	5366060	57.50	414585	216378	4	8	0.00
49989_1_114.assembly	136	62	42	36	28	21	5098369	5070234	5024237	4984589	4855650	4614148	80	594784	5082683	50.54	273563	177239	7	12	0.00
49990_1_60.assembly	241	114	66	56	41	28	5538608	5488487	5389729	5321741	5076425	4621289	158	720127	5518237	50.28	192453	84469	9	21	0.00
49989_2_360.assembly	248	82	54	48	39	29	5390132	5328089	5274482	5228974	5076226	4735765	125	422813	5357969	50.45	208075	89287	10	19	0.00
49990_2_143.assembly	119	62	37	31	27	20	5058439	5032452	4970005	4931321	4877107	4649962	86	551708	5049720	50.47	340342	161193	6	12	0.00
49989_2_218.assembly	321	111	65	51	34	26	5155364	5082060	4993171	4891409	4612223	4327583	165	435153	5118867	50.63	182729	94776	10	20	0.00
49989_1_235.assembly	205	112	75	63	47	29	4898891	4859940	4778682	4691096	4429883	3812395	143	420739	4881782	50.78	122637	60835	13	27	0.00
49937_1_266.assembly	122	72	50	42	34	25	5656538	5639345	5587854	5526805	5399289	5071842	85	481474	5647767	56.88	240527	140124	8	16	0.00
49989_1_296.assembly	99	55	37	32	26	19	5033698	5015808	4970088	4936611	4834754	4589256	70	681873	5026992	50.61	308261	170668	6	12	0.00
49989_2_356.assembly	68	47	32	26	19	15	5317834	5311385	5274303	5228062	5114366	4984147	52	1803388	5314602	57.32	391987	267020	3	7	0.00
49989_1_347.assembly	386	346	237	179	94	45	9023323	9003518	8726402	8312187	6915498	5127506	368	335909	9019520	53.50	63261	27871	34	89	0.00
49937_1_384.assembly	159	86	60	50	32	24	5315069	5286492	5222422	5152103	4863779	4599743	113	399962	5304383	50.71	201617	110540	9	17	0.00
49989_2_234.assembly	107	54	37	34	27	20	5161321	5140099	5102985	5085050	4973463	4749762	70	797638	5151541	50.50	286955	163809	5	11	0.00
49989_1_148.assembly	169	96	74	66	46	32	5100657	5068741	5020744	4963502	4640601	4126112	121	644668	5087203	50.57	123379	56688	12	27	0.00
49937_1_12.assembly	145	77	53	46	33	26	5097212	5070241	5017606	4969359	4786451	4565023	100	622969	5086186	50.76	190808	114818	9	17	0.00
49989_1_313.assembly	335	122	78	68	50	33	5349714	5266503	5175051	5113442	4781990	4164068	181	287372	5308838	50.60	135276	55603	14	30	0.00
49937_1_28.assembly	181	94	66	50	40	33	5525214	5498474	5428305	5320538	5171448	4938599	109	615068	5508290	57.15	170917	96561	12	22	0.00
49947_1_184.assembly	140	88	62	50	34	29	5111675	5091505	5034538	4944847	4698705	4521935	103	378434	5102200	50.74	183293	93258	10	20	0.00
49989_2_156.assembly	232	72	36	32	24	20	5116624	5060423	4991133	4964748	4850291	4712049	111	580859	5086735	50.46	321230	159432	7	13	0.00
49990_2_212.assembly	120	43	26	25	22	17	5370208	5343459	5305046	5298007	5250887	5067614	56	914192	5352632	57.41	358547	274406	6	10	0.00
49947_1_209.assembly	143	77	48	43	30	23	5142100	5117184	5048570	5011443	4805724	4571679	99	365963	5131859	50.77	191146	158935	9	16	0.00
49989_1_96.assembly	139	57	34	29	24	21	5150640	5119472	5070874	5030063	4960736	4847267	83	958330	5137427	50.70	302913	179966	6	12	0.00
49937_1_57.assembly	200	130	98	81	57	32	4952668	4925856	4854289	4729797	4355889	3419305	146	256484	4938532	50.55	92050	41279	19	39	0.00
49989_1_306.assembly	293	116	60	46	32	24	5315745	5244925	5125921	5021616	4813259	4537637	169	388567	5282780	50.64	208654	104094	9	17	0.00
49937_1_221.assembly	80	51	35	32	28	24	5395119	5384875	5346947	5323629	5265905	5137420	58	507449	5389812	57.34	294393	166134	7	13	0.00
49989_1_274.assembly	170	78	48	45	26	21	5221394	5186701	5120266	5099559	4793757	4606889	102	517484	5202345	50.69	249607	171298	8	14	0.00
49990_1_63.assembly	162	80	50	42	29	24	5543736	5513982	5435187	5377100	5168559	4986532	100	787772	5527658	57.14	248554	117856	7	14	0.00
49989_1_211.assembly	116	67	37	34	30	22	5287988	5272167	5212019	5196038	5134813	4850132	75	598624	5277443	50.51	355423	129031	6	13	0.00
49989_1_15.assembly	278	107	61	57	41	27	5369070	5302053	5216803	5186028	4962831	4505728	153	341719	5333188	50.62	170271	111188	12	21	0.00
49990_2_259.assembly	196	90	55	43	34	24	5287459	5242420	5163082	5074393	4949783	4601468	128	448980	5267340	50.41	219550	113018	8	16	0.00
49937_1_244.assembly	105	59	38	35	29	21	5038652	5022430	4973001	4953657	4856103	4589633	71	790362	5031171	50.55	215880	136916	7	14	0.00
49937_1_276.assembly	110	53	34	34	23	19	5084561	5061817	5022550	5022550	4838948	4695699	72	694050	5075346	50.74	307923	190797	6	12	0.00
49947_1_145.assembly	431	189	102	79	60	34	6069447	5976627	5785121	5613476	5296373	4384313	264	301621	6030115	56.44	101668	43120	17	38	0.00
49989_1_309.assembly	284	176	122	95	64	33	5052886	5003864	4871776	4690129	4186930	3062354	218	215641	5035144	50.55	62992	34253	23	51	0.00
49989_2_153.assembly	103	61	43	39	31	25	4862046	4847429	4808215	4783432	4668145	4454832	69	450339	4852889	50.66	222182	137432	9	15	0.00
49989_1_37.assembly	182	88	56	48	40	33	5459696	5427015	5352336	5294502	5158160	4925915	106	394701	5440111	57.18	183790	92625	11	22	0.00
49990_2_168.assembly	153	89	50	45	35	27	4938042	4915388	4836427	4801510	4639585	4361365	104	545844	4926933	50.72	205223	95788	9	18	0.00
49937_1_274.assembly	132	72	49	47	31	28	4917137	4897048	4849733	4834153	4589165	4482376	85	412133	4905395	50.69	199585	107894	9	18	0.00
49989_2_340.assembly	209	98	52	42	32	24	5245562	5198389	5101549	5024467	4856735	4567019	136	443222	5225629	50.66	225637	134008	9	17	0.00
49990_2_6.assembly	33	22	15	15	14	11	5132489	5130281	5116434	5116434	5096362	5010536	23	1548509	5130881	57.67	1034309	350689	2	6	0.00
49989_2_204.assembly	174	66	43	37	25	22	5178102	5134735	5083018	5038959	4855237	4752759	102	656496	5158974	50.76	304179	150514	7	13	0.00
49990_2_194.assembly	179	80	54	47	31	23	5329556	5289027	5235563	5185847	4908643	4620165	110	500630	5311627	50.56	237424	119024	7	15	0.00
49989_1_13.assembly	170	96	57	49	36	30	5137138	5108483	5036081	4983586	4810811	4597579	121	480372	5124944	50.47	151609	101748	10	20	0.00
49937_1_128.assembly	213	96	63	53	36	27	5003148	4961692	4887643	4812884	4555702	4209918	123	451022	4981681	50.49	161515	87397	10	20	0.00
49937_1_248.assembly	124	77	56	45	31	26	5116453	5098641	5051735	4968387	4762017	4594162	90	524561	5107896	50.75	209196	116899	9	17	0.00
49990_2_123.assembly	102	52	33	29	23	18	4888732	4869836	4826039	4796105	4676526	4506071	65	668975	4878976	50.58	332197	139030	5	11	0.00
49989_1_69.assembly	89	53	29	26	20	17	5369826	5356477	5294714	5269511	5166268	5077622	64	926027	5364255	57.51	370176	322640	5	8	0.00
49990_2_169.assembly	81	40	21	21	19	17	5192468	5176585	5143090	5143090	5098460	5038112	53	762113	5186232	57.57	371122	228000	5	10	0.00
49989_2_288.assembly	3126	1305	314	116	18	3	6678938	5738704	3535208	2148414	659765	201183	2195	86829	6410015	50.43	6110	2395	256	686	0.00
49990_2_284.assembly	138	78	45	36	30	22	5074424	5050397	4980811	4920518	4814148	4533490	98	696785	5064895	50.80	230341	156818	8	14	0.00
49990_1_95.assembly	384	191	106	79	56	29	6147963	6074641	5869508	5670745	5288589	4324637	245	382141	6113234	56.40	104923	41867	14	35	0.00
49989_2_380.assembly	188	83	48	38	30	22	5152499	5112942	5033706	4959468	4839830	4566378	114	615443	5135239	50.35	222603	132336	8	15	0.00
49989_2_336.assembly	105	63	47	40	29	23	5047246	5034063	4993098	4945232	4757155	4552057	71	622952	5039976	50.77	222271	123597	7	14	0.00
49990_2_89.assembly	155	87	55	51	37	30	5140472	5113908	5043491	5011990	4805441	4596564	109	346524	5128924	50.82	173578	108987	10	19	0.00
49989_1_319.assembly	86	44	26	23	23	16	4938397	4921788	4887474	4867369	4867369	4622736	57	1204620	4931336	50.40	527561	189458	3	8	0.00
49990_2_38.assembly	129	75	54	45	33	29	5016161	4995787	4956671	4883818	4677776	4550976	89	427167	5006078	50.76	183511	109192	9	18	0.00
49989_1_59.assembly	275	104	61	47	34	25	5331521	5271126	5165255	5060589	4881849	4581751	144	628145	5299891	50.34	192772	112854	9	18	0.00
49990_2_266.assembly	132	77	44	37	31	24	5075650	5053332	4981106	4930408	4833997	4591841	96	696785	5067033	50.80	228124	119545	8	15	0.00
49937_1_29.assembly	189	80	56	45	38	26	4991784	4950647	4890721	4817582	4716223	4317286	107	510257	4969633	50.69	187105	81836	9	18	0.00
49989_2_127.assembly	208	78	48	37	24	19	5009866	4956395	4886391	4803959	4609589	4442309	115	463985	4983860	50.68	294729	158770	7	13	0.00
49937_1_90.assembly	112	76	46	34	29	24	5541642	5530585	5461686	5373291	5279782	5115988	84	754439	5535773	57.20	230010	142580	6	14	0.00
49989_2_137.assembly	243	85	62	55	44	28	5124676	5077973	5026368	4980710	4801615	4244101	105	439503	5092306	50.49	150058	79513	10	22	0.00
49990_1_283.assembly	103	63	37	32	25	23	5541479	5527469	5478253	5440795	5332754	5272412	74	904698	5535230	57.23	307140	146134	6	12	0.00
49937_1_63.assembly	178	111	73	55	41	33	4730409	4707676	4621735	4481297	4244690	3972558	127	273490	4719765	50.66	133161	58356	12	26	0.00
49947_1_344.assembly	136	80	54	47	31	26	5061123	5041854	4979803	4936486	4686602	4522033	95	387471	5052060	50.75	222050	108981	9	17	0.00
49947_1_123.assembly	253	221	103	80	54	31	6087086	6069023	5767786	5610533	5199297	4388589	242	418665	6084593	56.43	102975	41272	15	35	0.00
